date,blood_type,demand,hospital_license_number,notes
2024-01-15,A+,21,,
2024-01-15,B+,16,,
2024-01-15,O-,7,,
2024-01-15,A-,6,,
2024-01-15,B-,5,,
2024-01-15,AB+,3,,
2024-01-15,AB-,1,,
2024-01-16,O+,31,,
2024-01-16,A+,21,,
2024-01-16,B+,15,,
2024-01-16,O-,8,,
2024-01-16,A-,8,,
2024-01-16,B-,5,,
2024-01-16,AB+,6,,
2024-01-16,AB-,2,,
2024-01-17,O+,36,,
2024-01-17,A+,21,,
2024-01-17,B+,15,,
2024-01-17,O-,10,,
2024-01-17,A-,9,,
2024-01-17,B-,3,,
2024-01-17,AB+,5,,
2024-01-17,AB-,2,,
2024-01-18,O+,32,,
2024-01-18,A+,23,,
2024-01-18,B+,13,,
2024-01-18,O-,8,,
2024-01-18,A-,5,,
2024-01-18,B-,4,,
2024-01-18,AB+,3,,
2024-01-18,AB-,3,,
2024-01-19,O+,17,,
2024-01-19,A+,17,,
2024-01-19,B+,6,,
2024-01-19,O-,6,,
2024-01-19,A-,5,,
2024-01-19,B-,4,,
2024-01-19,AB+,4,,
2024-01-19,AB-,1,,
2024-01-20,O+,11,,
2024-01-20,A+,14,,
2024-01-20,B+,8,,
2024-01-20,O-,6,,
2024-01-20,A-,3,,
2024-01-20,B-,4,,
2024-01-20,AB+,2,,
2024-01-20,AB-,1,,
2024-01-21,O+,21,,
2024-01-21,A+,15,,
2024-01-21,B+,8,,
2024-01-21,O-,8,,
2024-01-21,A-,4,,
2024-01-21,B-,2,,
2024-01-21,AB+,2,,
2024-01-21,AB-,2,,
2024-01-22,O+,22,,
2024-01-22,A+,19,,
2024-01-22,B+,12,,
2024-01-22,O-,6,,
2024-01-22,A-,3,,
2024-01-22,B-,4,,
2024-01-22,AB+,3,,
2024-01-22,AB-,0,,
2024-01-23,O+,30,,
2024-01-23,A+,23,,
2024-01-23,B+,11,,
2024-01-23,O-,9,,
2024-01-23,A-,6,,
2024-01-23,B-,3,,
2024-01-23,AB+,4,,
2024-01-23,AB-,1,,
2024-01-24,O+,25,,
2024-01-24,A+,24,,
2024-01-24,B+,14,,
2024-01-24,O-,8,,
2024-01-24,A-,7,,
2024-01-24,B-,5,,
2024-01-24,AB+,3,,
2024-01-24,AB-,1,,
2024-01-25,O+,24,,
2024-01-25,A+,27,,
2024-01-25,B+,8,,
2024-01-25,O-,9,,
2024-01-25,A-,6,,
2024-01-25,B-,4,,
2024-01-25,AB+,5,,
2024-01-25,AB-,1,,
2024-01-26,O+,28,,
2024-01-26,A+,14,,
2024-01-26,B+,10,,
2024-01-26,O-,6,,
2024-01-26,A-,4,,
2024-01-26,B-,3,,
2024-01-26,AB+,2,,
2024-01-26,AB-,1,,
2024-01-27,O+,8,,
2024-01-27,A+,19,,
2024-01-27,B+,7,,
2024-01-27,O-,7,,
2024-01-27,A-,3,,
2024-01-27,B-,3,,
2024-01-27,AB+,5,,
2024-01-27,AB-,0,,
2024-01-28,O+,12,,
2024-01-28,A+,13,,
2024-01-28,B+,10,,
2024-01-28,O-,7,,
2024-01-28,A-,6,,
2024-01-28,B-,3,,
2024-01-28,AB+,1,,
2024-01-28,AB-,0,,
2024-01-29,O+,29,,
2024-01-29,A+,21,,
2024-01-29,B+,8,,
2024-01-29,O-,8,,
2024-01-29,A-,7,,
2024-01-29,B-,6,,
2024-01-29,AB+,4,,
2024-01-29,AB-,1,,
2024-01-30,O+,27,,
2024-01-30,A+,22,,
2024-01-30,B+,15,,
2024-01-30,O-,11,,
2024-01-30,A-,8,,
2024-01-30,B-,5,,
2024-01-30,AB+,3,,
2024-01-30,AB-,0,,
2024-01-31,O+,30,,
2024-01-31,A+,29,,
2024-01-31,B+,12,,
2024-01-31,O-,11,,
2024-01-31,A-,9,,
2024-01-31,B-,7,,
2024-01-31,AB+,4,,
2024-01-31,AB-,2,,
2024-02-01,O+,29,,
2024-02-01,A+,22,,
2024-02-01,B+,13,,
2024-02-01,O-,12,,
2024-02-01,A-,8,,
2024-02-01,B-,5,,
2024-02-01,AB+,7,,
2024-02-01,AB-,1,,
2024-02-02,O+,27,,
2024-02-02,A+,20,,
2024-02-02,B+,11,,
2024-02-02,O-,11,,
2024-02-02,A-,7,,
2024-02-02,B-,2,,
2024-02-02,AB+,3,,
2024-02-02,AB-,1,,
2024-02-03,O+,24,,
2024-02-03,A+,12,,
2024-02-03,B+,5,,
2024-02-03,O-,4,,
2024-02-03,A-,5,,
2024-02-03,B-,3,,
2024-02-03,AB+,3,,
2024-02-03,AB-,0,,
2024-02-04,O+,18,,
2024-02-04,A+,12,,
2024-02-04,B+,12,,
2024-02-04,O-,8,,
2024-02-04,A-,6,,
2024-02-04,B-,4,,
2024-02-04,AB+,3,,
2024-02-04,AB-,2,,
2024-02-05,O+,30,,
2024-02-05,A+,22,,
2024-02-05,B+,13,,
2024-02-05,O-,9,,
2024-02-05,A-,5,,
2024-02-05,B-,5,,
2024-02-05,AB+,4,,
2024-02-05,AB-,1,,
2024-02-06,O+,35,,
2024-02-06,A+,31,,
2024-02-06,B+,21,,
2024-02-06,O-,12,,
2024-02-06,A-,9,,
2024-02-06,B-,5,,
2024-02-06,AB+,4,,
2024-02-06,AB-,0,,
2024-02-07,O+,39,,
2024-02-07,A+,32,,
2024-02-07,B+,23,,
2024-02-07,O-,14,,
2024-02-07,A-,11,,
2024-02-07,B-,6,,
2024-02-07,AB+,5,,
2024-02-07,AB-,0,,
2024-02-08,O+,36,,
2024-02-08,A+,29,,
2024-02-08,B+,15,,
2024-02-08,O-,14,,
2024-02-08,A-,9,,
2024-02-08,B-,4,,
2024-02-08,AB+,5,,
2024-02-08,AB-,1,,
2024-02-09,O+,27,,
2024-02-09,A+,23,,
2024-02-09,B+,14,,
2024-02-09,O-,6,,
2024-02-09,A-,5,,
2024-02-09,B-,5,,
2024-02-09,AB+,5,,
2024-02-09,AB-,3,,
2024-02-10,O+,29,,
2024-02-10,A+,11,,
2024-02-10,B+,12,,
2024-02-10,O-,4,,
2024-02-10,A-,7,,
2024-02-10,B-,4,,
2024-02-10,AB+,1,,
2024-02-10,AB-,3,,
2024-02-11,O+,26,,
2024-02-11,A+,12,,
2024-02-11,B+,12,,
2024-02-11,O-,6,,
2024-02-11,A-,6,,
2024-02-11,B-,3,,
2024-02-11,AB+,4,,
2024-02-11,AB-,0,,
2024-02-12,O+,31,,
2024-02-12,A+,29,,
2024-02-12,B+,12,,
2024-02-12,O-,10,,
2024-02-12,A-,7,,
2024-02-12,B-,4,,
2024-02-12,AB+,4,,
2024-02-12,AB-,1,,
2024-02-13,O+,31,,
2024-02-13,A+,34,,
2024-02-13,B+,18,,
2024-02-13,O-,11,,
2024-02-13,A-,8,,
2024-02-13,B-,5,,
2024-02-13,AB+,5,,
2024-02-13,AB-,1,,
2024-02-14,O+,38,,
2024-02-14,A+,28,,
2024-02-14,B+,18,,
2024-02-14,O-,11,,
2024-02-14,A-,9,,
2024-02-14,B-,6,,
2024-02-14,AB+,5,,
2024-02-14,AB-,2,,
2024-02-15,O+,30,,
2024-02-15,A+,21,,
2024-02-15,B+,13,,
2024-02-15,O-,9,,
2024-02-15,A-,6,,
2024-02-15,B-,6,,
2024-02-15,AB+,4,,
2024-02-15,AB-,3,,
2024-02-16,O+,31,,
2024-02-16,A+,18,,
2024-02-16,B+,8,,
2024-02-16,O-,7,,
2024-02-16,A-,5,,
2024-02-16,B-,2,,
2024-02-16,AB+,2,,
2024-02-16,AB-,1,,
2024-02-17,O+,16,,
2024-02-17,A+,12,,
2024-02-17,B+,7,,
2024-02-17,O-,8,,
2024-02-17,A-,4,,
2024-02-17,B-,2,,
2024-02-17,AB+,2,,
2024-02-17,AB-,2,,
2024-02-18,O+,16,,
2024-02-18,A+,16,,
2024-02-18,B+,10,,
2024-02-18,O-,7,,
2024-02-18,A-,6,,
2024-02-18,B-,2,,
2024-02-18,AB+,3,,
2024-02-18,AB-,0,,
2024-02-19,O+,22,,
2024-02-19,A+,22,,
2024-02-19,B+,13,,
2024-02-19,O-,7,,
2024-02-19,A-,4,,
2024-02-19,B-,4,,
2024-02-19,AB+,2,,
2024-02-19,AB-,0,,
2024-02-20,O+,25,,
2024-02-20,A+,23,,
2024-02-20,B+,9,,
2024-02-20,O-,9,,
2024-02-20,A-,7,,
2024-02-20,B-,4,,
2024-02-20,AB+,4,,
2024-02-20,AB-,2,,
2024-02-21,O+,26,,
2024-02-21,A+,21,,
2024-02-21,B+,15,,
2024-02-21,O-,7,,
2024-02-21,A-,7,,
2024-02-21,B-,4,,
2024-02-21,AB+,4,,
2024-02-21,AB-,1,,
2024-02-22,O+,25,,
2024-02-22,A+,23,,
2024-02-22,B+,12,,
2024-02-22,O-,8,,
2024-02-22,A-,5,,
2024-02-22,B-,5,,
2024-02-22,AB+,3,,
2024-02-22,AB-,2,,
2024-02-23,O+,16,,
2024-02-23,A+,15,,
2024-02-23,B+,9,,
2024-02-23,O-,6,,
2024-02-23,A-,5,,
2024-02-23,B-,1,,
2024-02-23,AB+,3,,
2024-02-23,AB-,1,,
2024-02-24,O+,20,,
2024-02-24,A+,20,,
2024-02-24,B+,7,,
2024-02-24,O-,5,,
2024-02-24,A-,4,,
2024-02-24,B-,4,,
2024-02-24,AB+,0,,
2024-02-24,AB-,1,,
2024-02-25,O+,11,,
2024-02-25,A+,5,,
2024-02-25,B+,4,,
2024-02-25,O-,4,,
2024-02-25,A-,5,,
2024-02-25,B-,2,,
2024-02-25,AB+,2,,
2024-02-25,AB-,0,,
2024-02-26,O+,25,,
2024-02-26,A+,15,,
2024-02-26,B+,13,,
2024-02-26,O-,6,,
2024-02-26,A-,5,,
2024-02-26,B-,4,,
2024-02-26,AB+,3,,
2024-02-26,AB-,2,,
2024-02-27,O+,30,,
2024-02-27,A+,19,,
2024-02-27,B+,13,,
2024-02-27,O-,9,,
2024-02-27,A-,8,,
2024-02-27,B-,5,,
2024-02-27,AB+,3,,
2024-02-27,AB-,2,,
2024-02-28,O+,29,,
2024-02-28,A+,25,,
2024-02-28,B+,15,,
2024-02-28,O-,12,,
2024-02-28,A-,7,,
2024-02-28,B-,5,,
2024-02-28,AB+,3,,
2024-02-28,AB-,2,,
2024-02-29,O+,26,,
2024-02-29,A+,24,,
2024-02-29,B+,10,,
2024-02-29,O-,10,,
2024-02-29,A-,6,,
2024-02-29,B-,4,,
2024-02-29,AB+,4,,
2024-02-29,AB-,0,,
2024-03-01,O+,24,,
2024-03-01,A+,20,,
2024-03-01,B+,10,,
2024-03-01,O-,9,,
2024-03-01,A-,7,,
2024-03-01,B-,2,,
2024-03-01,AB+,1,,
2024-03-01,AB-,2,,
2024-03-02,O+,15,,
2024-03-02,A+,15,,
2024-03-02,B+,10,,
2024-03-02,O-,7,,
2024-03-02,A-,5,,
2024-03-02,B-,3,,
2024-03-02,AB+,2,,
2024-03-02,AB-,2,,
2024-03-03,O+,21,,
2024-03-03,A+,19,,
2024-03-03,B+,10,,
2024-03-03,O-,7,,
2024-03-03,A-,5,,
2024-03-03,B-,3,,
2024-03-03,AB+,2,,
2024-03-03,AB-,2,,
2024-03-04,O+,36,,
2024-03-04,A+,25,,
2024-03-04,B+,16,,
2024-03-04,O-,11,,
2024-03-04,A-,8,,
2024-03-04,B-,5,,
2024-03-04,AB+,4,,
2024-03-04,AB-,2,,
2024-03-05,O+,38,,
2024-03-05,A+,27,,
2024-03-05,B+,18,,
2024-03-05,O-,10,,
2024-03-05,A-,9,,
2024-03-05,B-,7,,
2024-03-05,AB+,6,,
2024-03-05,AB-,2,,
2024-03-06,O+,44,,
2024-03-06,A+,32,,
2024-03-06,B+,17,,
2024-03-06,O-,11,,
2024-03-06,A-,9,,
2024-03-06,B-,5,,
2024-03-06,AB+,5,,
2024-03-06,AB-,1,,
2024-03-07,O+,38,,
2024-03-07,A+,29,,
2024-03-07,B+,19,,
2024-03-07,O-,13,,
2024-03-07,A-,8,,
2024-03-07,B-,5,,
2024-03-07,AB+,4,,
2024-03-07,AB-,0,,
2024-03-08,O+,30,,
2024-03-08,A+,26,,
2024-03-08,B+,13,,
2024-03-08,O-,8,,
2024-03-08,A-,8,,
2024-03-08,B-,2,,
2024-03-08,AB+,3,,
2024-03-08,AB-,1,,
2024-03-09,O+,20,,
2024-03-09,A+,22,,
2024-03-09,B+,13,,
2024-03-09,O-,7,,
2024-03-09,A-,5,,
2024-03-09,B-,3,,
2024-03-09,AB+,2,,
2024-03-09,AB-,0,,
2024-03-10,O+,32,,
2024-03-10,A+,24,,
2024-03-10,B+,14,,
2024-03-10,O-,7,,
2024-03-10,A-,8,,
2024-03-10,B-,6,,
2024-03-10,AB+,3,,
2024-03-10,AB-,0,,
2024-03-11,O+,34,,Public holiday: Moshoeshoe's Day
2024-03-11,A+,31,,Public holiday: Moshoeshoe's Day
2024-03-11,B+,16,,Public holiday: Moshoeshoe's Day
2024-03-11,O-,12,,Public holiday: Moshoeshoe's Day
2024-03-11,A-,10,,Public holiday: Moshoeshoe's Day
2024-03-11,B-,4,,Public holiday: Moshoeshoe's Day
2024-03-11,AB+,6,,Public holiday: Moshoeshoe's Day
2024-03-11,AB-,3,,Public holiday: Moshoeshoe's Day
2024-03-12,O+,35,,
2024-03-12,A+,27,,
2024-03-12,B+,19,,
2024-03-12,O-,11,,
2024-03-12,A-,9,,
2024-03-12,B-,4,,
2024-03-12,AB+,5,,
2024-03-12,AB-,3,,
2024-03-13,O+,33,,
2024-03-13,A+,29,,
2024-03-13,B+,15,,
2024-03-13,O-,13,,
2024-03-13,A-,9,,
2024-03-13,B-,8,,
2024-03-13,AB+,5,,
2024-03-13,AB-,1,,
2024-03-14,O+,34,,
2024-03-14,A+,24,,
2024-03-14,B+,13,,
2024-03-14,O-,11,,
2024-03-14,A-,7,,
2024-03-14,B-,5,,
2024-03-14,AB+,4,,
2024-03-14,AB-,1,,
2024-03-15,O+,25,,
2024-03-15,A+,24,,
2024-03-15,B+,9,,
2024-03-15,O-,10,,
2024-03-15,A-,5,,
2024-03-15,B-,3,,
2024-03-15,AB+,5,,
2024-03-15,AB-,1,,
2024-03-16,O+,24,,
2024-03-16,A+,17,,
2024-03-16,B+,6,,
2024-03-16,O-,6,,
2024-03-16,A-,4,,
2024-03-16,B-,2,,
2024-03-16,AB+,0,,
2024-03-16,AB-,1,,
2024-03-17,O+,22,,
2024-03-17,A+,17,,
2024-03-17,B+,9,,
2024-03-17,O-,5,,
2024-03-17,A-,4,,
2024-03-17,B-,3,,
2024-03-17,AB+,1,,
2024-03-17,AB-,1,,
2024-03-18,O+,24,,
2024-03-18,A+,17,,
2024-03-18,B+,11,,
2024-03-18,O-,7,,
2024-03-18,A-,6,,
2024-03-18,B-,4,,
2024-03-18,AB+,3,,
2024-03-18,AB-,1,,
2024-03-19,O+,22,,
2024-03-19,A+,22,,
2024-03-19,B+,14,,
2024-03-19,O-,10,,
2024-03-19,A-,5,,
2024-03-19,B-,5,,
2024-03-19,AB+,5,,
2024-03-19,AB-,1,,
2024-03-20,O+,29,,
2024-03-20,A+,25,,
2024-03-20,B+,15,,
2024-03-20,O-,10,,
2024-03-20,A-,7,,
2024-03-20,B-,5,,
2024-03-20,AB+,3,,
2024-03-20,AB-,1,,
2024-03-21,O+,30,,
2024-03-21,A+,20,,
2024-03-21,B+,12,,
2024-03-21,O-,7,,
2024-03-21,A-,7,,
2024-03-21,B-,3,,
2024-03-21,AB+,4,,
2024-03-21,AB-,0,,
2024-03-22,O+,15,,
2024-03-22,A+,16,,
2024-03-22,B+,10,,
2024-03-22,O-,7,,
2024-03-22,A-,6,,
2024-03-22,B-,3,,
2024-03-22,AB+,3,,
2024-03-22,AB-,0,,
2024-03-23,O+,21,,
2024-03-23,A+,15,,
2024-03-23,B+,9,,
2024-03-23,O-,5,,
2024-03-23,A-,3,,
2024-03-23,B-,2,,
2024-03-23,AB+,2,,
2024-03-23,AB-,1,,
2024-03-24,O+,18,,
2024-03-24,A+,9,,
2024-03-24,B+,9,,
2024-03-24,O-,5,,
2024-03-24,A-,3,,
2024-03-24,B-,3,,
2024-03-24,AB+,0,,
2024-03-24,AB-,1,,
2024-03-25,O+,26,,
2024-03-25,A+,18,,
2024-03-25,B+,9,,
2024-03-25,O-,6,,
2024-03-25,A-,5,,
2024-03-25,B-,1,,
2024-03-25,AB+,3,,
2024-03-25,AB-,2,,
2024-03-26,O+,27,,
2024-03-26,A+,21,,
2024-03-26,B+,14,,
2024-03-26,O-,10,,
2024-03-26,A-,8,,
2024-03-26,B-,5,,
2024-03-26,AB+,3,,
2024-03-26,AB-,1,,
2024-03-27,O+,31,,
2024-03-27,A+,30,,
2024-03-27,B+,14,,
2024-03-27,O-,8,,
2024-03-27,A-,7,,
2024-03-27,B-,3,,
2024-03-27,AB+,4,,
2024-03-27,AB-,0,,
2024-03-28,O+,23,,
2024-03-28,A+,16,,
2024-03-28,B+,11,,
2024-03-28,O-,10,,
2024-03-28,A-,5,,
2024-03-28,B-,3,,
2024-03-28,AB+,4,,
2024-03-28,AB-,1,,
2024-03-29,O+,24,,
2024-03-29,A+,20,,
2024-03-29,B+,11,,
2024-03-29,O-,5,,
2024-03-29,A-,5,,
2024-03-29,B-,4,,
2024-03-29,AB+,2,,
2024-03-29,AB-,0,,
2024-03-30,O+,23,,
2024-03-30,A+,14,,
2024-03-30,B+,8,,
2024-03-30,O-,6,,
2024-03-30,A-,6,,
2024-03-30,B-,3,,
2024-03-30,AB+,2,,
2024-03-30,AB-,1,,
2024-03-31,O+,30,,
2024-03-31,A+,21,,
2024-03-31,B+,11,,
2024-03-31,O-,5,,
2024-03-31,A-,9,,
2024-03-31,B-,2,,
2024-03-31,AB+,2,,
2024-03-31,AB-,0,,
2024-04-01,O+,35,,
2024-04-01,A+,24,,
2024-04-01,B+,11,,
2024-04-01,O-,9,,
2024-04-01,A-,7,,
2024-04-01,B-,4,,
2024-04-01,AB+,2,,
2024-04-01,AB-,0,,
2024-04-02,O+,34,,
2024-04-02,A+,29,,
2024-04-02,B+,16,,
2024-04-02,O-,12,,
2024-04-02,A-,8,,
2024-04-02,B-,4,,
2024-04-02,AB+,4,,
2024-04-02,AB-,3,,
2024-04-03,O+,36,,
2024-04-03,A+,38,,
2024-04-03,B+,19,,
2024-04-03,O-,11,,
2024-04-03,A-,8,,
2024-04-03,B-,6,,
2024-04-03,AB+,3,,
2024-04-03,AB-,4,,
2024-04-04,O+,31,,
2024-04-04,A+,30,,
2024-04-04,B+,19,,
2024-04-04,O-,11,,
2024-04-04,A-,7,,
2024-04-04,B-,5,,
2024-04-04,AB+,5,,
2024-04-04,AB-,2,,
2024-04-05,O+,27,,
2024-04-05,A+,17,,
2024-04-05,B+,13,,
2024-04-05,O-,8,,
2024-04-05,A-,4,,
2024-04-05,B-,4,,
2024-04-05,AB+,2,,
2024-04-05,AB-,2,,
2024-04-06,O+,30,,
2024-04-06,A+,24,,
2024-04-06,B+,10,,
2024-04-06,O-,7,,
2024-04-06,A-,6,,
2024-04-06,B-,5,,
2024-04-06,AB+,2,,
2024-04-06,AB-,1,,
2024-04-07,O+,33,,
2024-04-07,A+,19,,
2024-04-07,B+,11,,
2024-04-07,O-,8,,
2024-04-07,A-,6,,
2024-04-07,B-,3,,
2024-04-07,AB+,3,,
2024-04-07,AB-,0,,
2024-04-08,O+,31,,
2024-04-08,A+,31,,
2024-04-08,B+,17,,
2024-04-08,O-,10,,
2024-04-08,A-,7,,
2024-04-08,B-,5,,
2024-04-08,AB+,5,,
2024-04-08,AB-,1,,
2024-04-09,O+,45,,
2024-04-09,A+,27,,
2024-04-09,B+,18,,
2024-04-09,O-,15,,
2024-04-09,A-,7,,
2024-04-09,B-,7,,
2024-04-09,AB+,3,,
2024-04-09,AB-,1,,
2024-04-10,O+,40,,
2024-04-10,A+,35,,
2024-04-10,B+,13,,
2024-04-10,O-,10,,
2024-04-10,A-,9,,
2024-04-10,B-,7,,
2024-04-10,AB+,4,,
2024-04-10,AB-,1,,
2024-04-11,O+,30,,
2024-04-11,A+,26,,
2024-04-11,B+,15,,
2024-04-11,O-,11,,
2024-04-11,A-,9,,
2024-04-11,B-,7,,
2024-04-11,AB+,4,,
2024-04-11,AB-,1,,
2024-04-12,O+,26,,
2024-04-12,A+,20,,
2024-04-12,B+,12,,
2024-04-12,O-,6,,
2024-04-12,A-,7,,
2024-04-12,B-,3,,
2024-04-12,AB+,2,,
2024-04-12,AB-,0,,
2024-04-13,O+,25,,
2024-04-13,A+,16,,
2024-04-13,B+,12,,
2024-04-13,O-,7,,
2024-04-13,A-,3,,
2024-04-13,B-,2,,
2024-04-13,AB+,3,,
2024-04-13,AB-,0,,
2024-04-14,O+,17,,
2024-04-14,A+,17,,
2024-04-14,B+,10,,
2024-04-14,O-,6,,
2024-04-14,A-,5,,
2024-04-14,B-,3,,
2024-04-14,AB+,0,,
2024-04-14,AB-,1,,
2024-04-15,O+,24,,
2024-04-15,A+,26,,
2024-04-15,B+,11,,
2024-04-15,O-,7,,
2024-04-15,A-,8,,
2024-04-15,B-,3,,
2024-04-15,AB+,3,,
2024-04-15,AB-,2,,
2024-04-16,O+,31,,
2024-04-16,A+,21,,
2024-04-16,B+,16,,
2024-04-16,O-,10,,
2024-04-16,A-,9,,
2024-04-16,B-,6,,
2024-04-16,AB+,7,,
2024-04-16,AB-,0,,
2024-04-17,O+,32,,
2024-04-17,A+,23,,
2024-04-17,B+,18,,
2024-04-17,O-,11,,
2024-04-17,A-,9,,
2024-04-17,B-,4,,
2024-04-17,AB+,3,,
2024-04-17,AB-,0,,
2024-04-18,O+,34,,
2024-04-18,A+,24,,
2024-04-18,B+,13,,
2024-04-18,O-,10,,
2024-04-18,A-,7,,
2024-04-18,B-,5,,
2024-04-18,AB+,2,,
2024-04-18,AB-,0,,
2024-04-19,O+,21,,
2024-04-19,A+,18,,
2024-04-19,B+,12,,
2024-04-19,O-,5,,
2024-04-19,A-,5,,
2024-04-19,B-,5,,
2024-04-19,AB+,3,,
2024-04-19,AB-,2,,
2024-04-20,O+,16,,
2024-04-20,A+,15,,
2024-04-20,B+,11,,
2024-04-20,O-,5,,
2024-04-20,A-,5,,
2024-04-20,B-,2,,
2024-04-20,AB+,3,,
2024-04-20,AB-,2,,
2024-04-21,O+,14,,
2024-04-21,A+,17,,
2024-04-21,B+,7,,
2024-04-21,O-,4,,
2024-04-21,A-,4,,
2024-04-21,B-,5,,
2024-04-21,AB+,2,,
2024-04-21,AB-,2,,
2024-04-22,O+,19,,
2024-04-22,A+,18,,
2024-04-22,B+,8,,
2024-04-22,O-,6,,
2024-04-22,A-,6,,
2024-04-22,B-,3,,
2024-04-22,AB+,4,,
2024-04-22,AB-,1,,
2024-04-23,O+,26,,
2024-04-23,A+,26,,
2024-04-23,B+,12,,
2024-04-23,O-,7,,
2024-04-23,A-,8,,
2024-04-23,B-,5,,
2024-04-23,AB+,1,,
2024-04-23,AB-,1,,
2024-04-24,O+,27,,
2024-04-24,A+,28,,
2024-04-24,B+,12,,
2024-04-24,O-,8,,
2024-04-24,A-,6,,
2024-04-24,B-,4,,
2024-04-24,AB+,3,,
2024-04-24,AB-,0,,
2024-04-25,O+,21,,
2024-04-25,A+,15,,
2024-04-25,B+,9,,
2024-04-25,O-,6,,
2024-04-25,A-,6,,
2024-04-25,B-,3,,
2024-04-25,AB+,2,,
2024-04-25,AB-,1,,
2024-04-26,O+,20,,
2024-04-26,A+,15,,
2024-04-26,B+,9,,
2024-04-26,O-,8,,
2024-04-26,A-,5,,
2024-04-26,B-,4,,
2024-04-26,AB+,0,,
2024-04-26,AB-,0,,
2024-04-27,O+,8,,
2024-04-27,A+,12,,
2024-04-27,B+,9,,
2024-04-27,O-,4,,
2024-04-27,A-,5,,
2024-04-27,B-,2,,
2024-04-27,AB+,3,,
2024-04-27,AB-,0,,
2024-04-28,O+,18,,
2024-04-28,A+,16,,
2024-04-28,B+,10,,
2024-04-28,O-,6,,
2024-04-28,A-,6,,
2024-04-28,B-,3,,
2024-04-28,AB+,2,,
2024-04-28,AB-,0,,
2024-04-29,O+,32,,
2024-04-29,A+,19,,
2024-04-29,B+,10,,
2024-04-29,O-,10,,
2024-04-29,A-,7,,
2024-04-29,B-,4,,
2024-04-29,AB+,2,,
2024-04-29,AB-,1,,
2024-04-30,O+,33,,
2024-04-30,A+,25,,
2024-04-30,B+,19,,
